Temp,CC,CT,DS,HD,NU,ST
-50,0.625,0.899,0.506,0.259,0.026,0.28
-15,0.149,0.199,0.212,0.07,0.019,0.133
-10,0.081,0.099,0.17,0.043,0.018,0.112
-5,0.048,0.051,0.137,0.032,0.017,0.099
0,0.033,0.031,0.116,0.027,0.018,0.091
5,0.027,0.024,0.106,0.026,0.018,0.086
10,0.025,0.022,0.102,0.026,0.019,0.083
15,0.028,0.024,0.104,0.027,0.021,0.084
20,0.035,0.027,0.136,0.027,0.027,0.086
25,0.035,0.031,0.135,0.025,0.037,0.094
30,0.041,0.039,0.143,0.029,0.066,0.114
35,0.072,0.066,0.175,0.082,0.124,0.14
60,0.227,0.201,0.335,0.347,0.414,0.27